Date,GLD,HYG,QQQ,SPY,TLT,USO,UUP
2023-01-03,171.05999755859375,60.24825668334961,259.46875,365.0721130371094,88.49745178222656,67.63999938964844,24.446949005126953
2023-01-04,172.6699981689453,60.94247055053711,260.7048645019531,367.8905029296875,89.70986938476562,64.30000305175781,24.359981536865234
2023-01-05,170.52000427246094,60.81996154785156,256.6236877441406,363.6916198730469,90.08491516113281,64.77999877929688,24.58609962463379
2023-01-06,173.7100067138672,61.68566131591797,263.70684814453125,372.0318603515625,91.74219512939453,64.83000183105469,24.26431655883789
2023-01-09,174.10000610351562,61.90614318847656,265.4139709472656,371.8209533691406,92.23062133789062,65.87999725341797,24.116466522216797
2023-01-10,174.74000549316406,61.83264923095703,267.66046142578125,374.4284362792969,90.7042236328125,65.9000015258789,24.133859634399414
2023-01-11,174.6199951171875,62.24102020263672,272.2911071777344,379.16412353515625,92.17829132080078,68.05000305175781,24.133859634399414
2023-01-12,176.63999938964844,62.59221267700195,273.7626953125,380.54461669921875,93.99256134033203,68.61000061035156,23.899045944213867
2023-01-13,178.75999450683594,62.59221267700195,275.64630126953125,382.0209655761719,93.1115951538086,70.05000305175781,23.890348434448242
2023-01-17,177.58999633789062,62.37985610961914,276.20550537109375,381.3210754394531,92.50977325439453,70.86000061035156,23.959922790527344
2023-01-18,177.0800018310547,62.45337677001953,272.6148376464844,375.3007507324219,94.75141906738281,69.51000213623047,23.959922790527344
2023-01-19,179.88999938964844,62.085838317871094,269.9364929199219,372.5686950683594,94.15828704833984,70.58999633789062,23.899045944213867
2023-01-20,179.2899932861328,62.208351135253906,277.32391357421875,379.5092468261719,92.63184356689453,71.55000305175781,23.864259719848633
2023-01-23,179.6300048828125,62.2001953125,283.48486328125,384.0628662109375,92.19572448730469,71.5,23.899045944213867
2023-01-24,180.27999877929688,62.24102020263672,282.9060974121094,383.6506652832031,93.52154541015625,70.22000122070312,23.872955322265625
2023-01-25,181.11000061035156,62.23283386230469,282.2781982421875,383.7944641113281,93.74833679199219,70.51000213623047,23.79468536376953
2023-01-26,179.47000122070312,62.38801574707031,287.78192138671875,388.01251220703125,93.31218719482422,70.93000030517578,23.855562210083008
2023-01-27,179.22000122070312,62.2001953125,290.6465759277344,388.90399169921875,93.07671356201172,69.5,23.890348434448242
2023-01-30,178.75999450683594,61.857154846191406,284.7700500488281,384.0245361328125,92.73651885986328,68.0999984741211,23.977317810058594
2023-01-31,179.41000366210938,62.33900451660156,289.03759765625,389.6708984375,93.47795867919922,69.31999969482422,23.92513656616211
2023-02-01,181.6699981689453,62.99391174316406,295.2182922363281,393.8122863769531,94.60165405273438,67.36000061035156,23.699018478393555
